ticker,timeframe,signal_date,divergence_type,signal_close,entry_date,entry_price,first_peak_price,second_peak_price,first_peak_rsi,second_peak_rsi
WMT,1w,2025-02-16,Bearish,104.040001,2025-02-23,94.78,95.7,104.040001,86.82293645412048,81.6313812261469
WRB,1d,2024-02-22,Bearish,57.14,2024-02-23,56.87333,55.51333,57.14,83.64439344543773,75.54491628098955
WRB,3d,2024-03-27,Bearish,58.96,2024-03-30,58.32667,54.31333,58.96,77.75911531378506,77.09816440208101
WST,1d,2021-09-08,Bearish,468.47,2021-09-09,461.23999,449.51001,468.47,84.68321165777067,83.22152265646596
WST,1d,2023-03-03,Bearish,329.26001,2023-03-06,323.39999,319.76999,329.26001,78.3990268832231,75.28724318866772
XEL,1d,2023-09-05,Bullish,55.59,2023-09-06,56.34,57.0099983,55.59,21.304845437723444,21.7354152312474
XOM,1d,2022-03-08,Bearish,87.78,2022-03-09,82.79,82.39,87.78,81.07341803371554,77.4733608179458
XOM,3d,2022-03-05,Bearish,87.12,2022-03-08,85.36,81.41,87.12,82.17803922390887,79.30006702670732
YUM,1w,2021-08-15,Bearish,134.96001,2021-08-22,134.46001,121.23,134.96001,79.14797488633269,76.5412895420837
ZBRA,1d,2022-02-23,Bullish,399.29001,2022-02-24,415.32999,473.23001,399.29001,21.220474654075346,22.61599148813353
ZTS,1d,2025-11-20,Bullish,115.89,2025-11-21,122.059998,119.56,115.89,15.864431096420248,17.174610574370448
ZTS,1w,2022-01-02,Bearish,244.029999,2022-01-09,211.089996,209.69,244.029999,77.53047238774495,77.06677081091303
