ticker,timeframe,divergence_type,signal_date,entry_date,entry_price,initial_shares,initial_capital,total_pnl,total_pnl_pct,num_exits,days_in_trade,result
DDOG,1d,Bearish,2021-08-13,2021-08-16,133.52,7.4895,1000.0,-50.0,-5.0,1,17,Loss
FTNT,1d,Bearish,2021-08-13,2021-08-16,60.49,16.5322,1000.0,-50.0,-5.0,1,11,Loss
LVS,1d,Bullish,2021-08-19,2021-08-20,37.55,26.6312,1000.0,83.84,8.38,2,17,Win
PNR,1w,Bearish,2021-08-15,2021-08-22,78.83,12.6855,1000.0,65.93,6.59,2,45,Win
COF,1w,Bearish,2021-08-15,2021-08-22,168.22,5.9446,1000.0,0.0,0.0,1,25,Breakeven
YUM,1w,Bearish,2021-08-15,2021-08-22,134.46,7.4372,1000.0,0.0,0.0,1,78,Breakeven
FMC,1d,Bullish,2021-08-20,2021-08-23,89.09,11.2246,1000.0,65.68,6.57,2,28,Win
CARR,3d,Bearish,2021-08-25,2021-08-28,58.03,17.2325,1000.0,69.63,6.96,2,55,Win
CBOE,1w,Bearish,2021-08-22,2021-08-29,125.4,7.9745,1000.0,-50.0,-5.0,1,41,Loss
EVRG,1w,Bearish,2021-08-22,2021-08-29,68.31,14.6391,1000.0,0.0,0.0,1,77,Breakeven
MPWR,1d,Bearish,2021-08-30,2021-08-31,494.93,2.0205,1000.0,-50.0,-5.0,1,17,Loss
OTIS,3d,Bearish,2021-08-28,2021-08-31,92.06,10.8625,1000.0,105.97,10.6,2,104,Win
CDW,1d,Bearish,2021-09-02,2021-09-03,202.7,4.9334,1000.0,66.01,6.6,2,55,Win
EXR,3d,Bearish,2021-09-03,2021-09-06,192.4,5.1975,1000.0,66.43,6.64,2,34,Win
DHR,1d,Bearish,2021-09-03,2021-09-07,292.55,3.4182,1000.0,65.23,6.52,2,54,Win
AMT,3d,Bearish,2021-09-06,2021-09-09,293.88,3.4027,1000.0,69.1,6.91,2,32,Win
DGX,1d,Bearish,2021-09-08,2021-09-09,157.35,6.3553,1000.0,66.19,6.62,2,56,Win
MSCI,1d,Bearish,2021-09-08,2021-09-09,652.86,1.5317,1000.0,65.21,6.52,2,29,Win
WST,1d,Bearish,2021-09-08,2021-09-09,461.24,2.1681,1000.0,70.74,7.07,2,50,Win
IRM,1w,Bearish,2021-09-05,2021-09-12,47.02,21.2675,1000.0,0.0,0.0,1,37,Breakeven
EFX,1w,Bearish,2021-09-05,2021-09-12,272.87,3.6647,1000.0,0.0,0.0,1,27,Breakeven
CDW,1w,Bearish,2021-09-05,2021-09-12,197.99,5.0508,1000.0,71.72,7.17,2,30,Win
NVDA,1w,Bearish,2021-09-05,2021-09-12,22.48,44.4879,1000.0,0.0,0.0,1,9,Breakeven
DXCM,3d,Bearish,2021-09-21,2021-09-24,140.19,7.1334,1000.0,0.0,0.0,1,15,Breakeven
PWR,1w,Bearish,2021-09-19,2021-09-26,117.29,8.5259,1000.0,0.0,0.0,1,20,Breakeven
TEAM,1d,Bearish,2021-09-24,2021-09-27,391.89,2.5517,1000.0,-50.0,-5.0,1,14,Loss
MPWR,3d,Bearish,2021-09-24,2021-09-27,484.61,2.0635,1000.0,-50.0,-5.0,1,1,Loss
TMUS,1d,Bullish,2021-10-12,2021-10-13,116.46,8.5866,1000.0,0.0,0.0,1,24,Breakeven
MMC,3d,Bearish,2021-10-21,2021-10-24,168.91,5.9203,1000.0,82.03,8.2,2,103,Win
COP,1d,Bearish,2021-10-26,2021-10-27,74.43,13.4354,1000.0,0.0,0.0,1,20,Breakeven
NFLX,3d,Bearish,2021-10-27,2021-10-30,68.12,14.6806,1000.0,0.0,0.0,1,10,Breakeven
TEAM,3d,Bearish,2021-10-27,2021-10-30,450.14,2.2215,1000.0,186.07,18.61,3,102,Win
NOC,1w,Bearish,2021-10-24,2021-10-31,357.22,2.7994,1000.0,-50.0,-5.0,1,30,Loss
APO,1w,Bearish,2021-10-24,2021-10-31,76.95,12.9955,1000.0,69.71,6.97,2,38,Win
WM,1w,Bearish,2021-10-24,2021-10-31,160.23,6.241,1000.0,66.21,6.62,2,86,Win
PNW,3d,Bullish,2021-11-02,2021-11-05,64.56,15.4895,1000.0,0.0,0.0,1,17,Breakeven
APA,1d,Bearish,2021-11-08,2021-11-09,30.01,33.3222,1000.0,81.81,8.18,2,12,Win
EPAM,1w,Bearish,2021-11-07,2021-11-14,671.36,1.4895,1000.0,65.96,6.6,2,17,Win
NDAQ,1w,Bearish,2021-11-07,2021-11-14,69.47,14.394,1000.0,0.0,0.0,1,29,Breakeven
BG,1d,Bearish,2021-11-15,2021-11-16,95.73,10.446,1000.0,73.71,7.37,2,31,Win
ODFL,1d,Bearish,2021-11-16,2021-11-17,180.47,5.5412,1000.0,0.0,0.0,1,29,Breakeven
MAS,1d,Bearish,2021-11-16,2021-11-17,68.09,14.6864,1000.0,185.05,18.51,3,103,Win
ON,1d,Bearish,2021-11-18,2021-11-19,63.34,15.7878,1000.0,-50.0,-5.0,1,12,Loss
