ticker,timeframe,divergence_type,signal_date,entry_date,entry_price,initial_shares,initial_capital,total_pnl,total_pnl_pct,num_exits,days_in_trade,result
DLTR,3d,Bearish,2024-03-03,2024-03-06,147.91,6.7609,1000.0,197.78,19.78,3,104,Win
ETN,1d,Bearish,2024-03-07,2024-03-08,297.49,3.3615,1000.0,-50.0,-5.0,1,10,Loss
AMD,3d,Bearish,2024-03-06,2024-03-09,198.39,5.0406,1000.0,132.63,13.26,3,82,Win
IBM,3d,Bearish,2024-03-06,2024-03-09,191.73,5.2157,1000.0,74.51,7.45,2,88,Win
DVA,1d,Bearish,2024-03-12,2024-03-13,138.27,7.2322,1000.0,0.0,0.0,1,33,Breakeven
PGR,1d,Bearish,2024-03-18,2024-03-19,205.49,4.8664,1000.0,-50.0,-5.0,1,24,Loss
TSCO,1d,Bearish,2024-03-21,2024-03-22,52.59,19.0136,1000.0,0.0,0.0,1,24,Breakeven
IEX,1d,Bearish,2024-03-21,2024-03-22,243.87,4.1005,1000.0,153.74,15.37,3,102,Win
FAST,1d,Bearish,2024-03-21,2024-03-22,39.05,25.6082,1000.0,128.87,12.89,3,80,Win
GWW,3d,Bearish,2024-03-21,2024-03-24,1005.37,1.0,1005.37,73.49,7.31,2,78,Win
BLDR,3d,Bearish,2024-03-21,2024-03-24,207.04,4.83,1000.0,69.31,6.93,2,30,Win
ETN,1d,Bearish,2024-03-22,2024-03-25,311.88,3.2064,1000.0,-50.0,-5.0,1,9,Loss
AZO,1d,Bearish,2024-03-22,2024-03-25,3170.82,1.0,3170.82,222.55,7.02,2,86,Win
AXON,3d,Bearish,2024-03-24,2024-03-27,312.88,3.1961,1000.0,-50.0,-5.0,1,11,Loss
RSG,1d,Bearish,2024-03-27,2024-03-28,191.44,5.2236,1000.0,0.0,0.0,1,56,Breakeven
LDOS,3d,Bearish,2024-03-27,2024-03-30,130.42,7.6675,1000.0,0.0,0.0,1,20,Breakeven
IR,3d,Bearish,2024-03-27,2024-03-30,93.62,10.6815,1000.0,0.0,0.0,1,20,Breakeven
CL,3d,Bearish,2024-03-27,2024-03-30,89.06,11.2284,1000.0,-50.0,-5.0,1,27,Loss
WRB,3d,Bearish,2024-03-27,2024-03-30,58.33,17.1448,1000.0,70.09,7.01,2,76,Win
PH,3d,Bearish,2024-04-05,2024-04-08,555.37,1.8006,1000.0,0.0,0.0,1,69,Breakeven
TRV,3d,Bearish,2024-04-05,2024-04-08,224.38,4.4567,1000.0,65.16,6.52,2,69,Win
APH,3d,Bearish,2024-04-05,2024-04-08,57.38,17.4277,1000.0,-50.0,-5.0,1,15,Loss
CEG,3d,Bearish,2024-04-05,2024-04-08,191.08,5.2334,1000.0,0.0,0.0,1,13,Breakeven
PGR,1d,Bearish,2024-04-05,2024-04-08,210.39,4.7531,1000.0,-50.0,-5.0,1,69,Loss
APO,1w,Bearish,2024-04-07,2024-04-14,110.13,9.0802,1000.0,-50.0,-5.0,1,30,Loss
BA,1d,Bullish,2024-04-24,2024-04-25,166.81,5.9948,1000.0,69.37,6.94,2,21,Win
TRGP,3d,Bearish,2024-04-23,2024-04-26,116.86,8.5572,1000.0,-50.0,-5.0,1,37,Loss
ROST,1d,Bullish,2024-05-02,2024-05-03,130.84,7.6429,1000.0,130.77,13.08,2,102,Win
RTX,3d,Bearish,2024-05-08,2024-05-11,105.8,9.4518,1000.0,0.0,0.0,1,50,Breakeven
CL,3d,Bearish,2024-05-08,2024-05-11,94.46,10.5865,1000.0,-50.0,-5.0,1,45,Loss
CTAS,1w,Bearish,2024-05-12,2024-05-19,173.04,5.7792,1000.0,-50.0,-5.0,1,39,Loss
TSCO,3d,Bearish,2024-05-17,2024-05-20,56.55,17.6828,1000.0,0.0,0.0,1,20,Breakeven
TT,3d,Bearish,2024-05-23,2024-05-26,328.31,3.0459,1000.0,-50.0,-5.0,1,16,Loss
LULU,3d,Bullish,2024-05-26,2024-05-29,311.99,3.2052,1000.0,-50.0,-5.0,1,1,Loss
AES,1d,Bearish,2024-05-30,2024-05-31,21.59,46.3177,1000.0,130.26,13.03,3,75,Win
NEE,1d,Bearish,2024-05-31,2024-06-03,77.71,12.8684,1000.0,65.25,6.52,2,28,Win
NVDA,1w,Bearish,2024-06-16,2024-06-23,126.57,7.9008,1000.0,0.0,0.0,1,3,Breakeven
COST,3d,Bearish,2024-07-07,2024-07-10,842.9,1.1864,1000.0,-50.0,-5.0,1,1,Loss
NTAP,1d,Bearish,2024-07-10,2024-07-11,131.46,7.6069,1000.0,75.28,7.53,2,25,Win
ARM,1w,Bearish,2024-07-07,2024-07-14,181.18,5.5194,1000.0,133.59,13.36,3,65,Win
COST,1w,Bearish,2024-07-07,2024-07-14,842.9,1.1864,1000.0,-50.0,-5.0,1,28,Loss
FDX,1d,Bearish,2024-07-16,2024-07-17,310.43,3.2213,1000.0,67.02,6.7,2,46,Win
BBWI,1d,Bullish,2024-07-25,2024-07-26,34.17,29.2654,1000.0,0.0,0.0,1,6,Breakeven
PNC,1d,Bearish,2024-07-30,2024-07-31,181.1,5.5218,1000.0,0.0,0.0,1,21,Breakeven
MCK,3d,Bearish,2024-07-31,2024-08-03,612.95,1.6315,1000.0,132.41,13.24,3,68,Win
LULU,1d,Bullish,2024-08-05,2024-08-06,236.9,4.2212,1000.0,65.02,6.5,2,26,Win
O,1d,Bearish,2024-08-09,2024-08-12,60.31,16.581,1000.0,-50.0,-5.0,1,18,Loss
CBRE,3d,Bearish,2024-08-21,2024-08-24,116.72,8.5675,1000.0,-50.0,-5.0,1,18,Loss
IRM,1d,Bearish,2024-08-27,2024-08-28,112.3,8.9047,1000.0,-50.0,-5.0,1,13,Loss
MRNA,1d,Bullish,2024-09-04,2024-09-05,73.44,13.6166,1000.0,0.0,0.0,1,6,Breakeven
MDT,1d,Bearish,2024-09-04,2024-09-05,89.39,11.1869,1000.0,67.35,6.74,2,92,Win
VLTO,1w,Bearish,2024-09-01,2024-09-08,108.72,9.1979,1000.0,-50.0,-5.0,1,25,Loss
PNW,3d,Bearish,2024-09-14,2024-09-17,89.02,11.2334,1000.0,-50.0,-5.0,1,48,Loss
DUK,3d,Bearish,2024-09-14,2024-09-17,115.14,8.6851,1000.0,-50.0,-5.0,1,25,Loss
AEP,3d,Bearish,2024-09-14,2024-09-17,101.74,9.829,1000.0,68.22,6.82,2,86,Win
NI,1d,Bearish,2024-10-01,2024-10-02,34.68,28.8351,1000.0,-50.0,-5.0,1,32,Loss
AFL,3d,Bearish,2024-10-02,2024-10-05,111.84,8.9413,1000.0,0.0,0.0,1,30,Breakeven
ORCL,1d,Bearish,2024-10-09,2024-10-10,175.41,5.7009,1000.0,-50.0,-5.0,1,21,Loss
ORCL,3d,Bearish,2024-10-11,2024-10-14,174.77,5.7218,1000.0,-50.0,-5.0,1,19,Loss
FTNT,3d,Bearish,2024-10-11,2024-10-14,82.12,12.1773,1000.0,0.0,0.0,1,19,Breakeven
DAL,1d,Bearish,2024-10-16,2024-10-17,55.26,18.0963,1000.0,-50.0,-5.0,1,10,Loss
J,1d,Bearish,2024-10-18,2024-10-21,142.12,7.0364,1000.0,0.0,0.0,1,72,Breakeven
LYV,1d,Bearish,2024-10-29,2024-10-30,117.2,8.5324,1000.0,-50.0,-5.0,1,6,Loss
AMP,1d,Bearish,2024-11-06,2024-11-07,547.61,1.8261,1000.0,-50.0,-5.0,1,12,Loss
MTB,1d,Bearish,2024-11-06,2024-11-07,208.11,4.8052,1000.0,-50.0,-5.0,1,11,Loss
MSI,3d,Bearish,2024-11-07,2024-11-10,497.45,2.0103,1000.0,162.87,16.29,3,101,Win
WAB,3d,Bearish,2024-11-07,2024-11-10,199.28,5.0181,1000.0,0.0,0.0,1,44,Breakeven
MSI,1d,Bearish,2024-11-08,2024-11-11,496.96,2.0122,1000.0,150.74,15.07,3,102,Win
BLK,1d,Bearish,2024-11-11,2024-11-12,1036.35,1.0,1036.35,0.0,0.0,1,51,Breakeven
APO,1d,Bearish,2024-11-11,2024-11-12,163.75,6.1069,1000.0,-50.0,-5.0,1,10,Loss
FI,1d,Bearish,2024-11-11,2024-11-12,214.06,4.6716,1000.0,0.0,0.0,1,52,Breakeven
HON,1d,Bearish,2024-11-12,2024-11-13,219.67,4.5523,1000.0,149.99,15.0,3,102,Win
QRVO,1d,Bullish,2024-11-13,2024-11-14,66.3,15.083,1000.0,0.0,0.0,1,16,Breakeven
CSCO,1d,Bearish,2024-11-13,2024-11-14,57.92,17.2652,1000.0,-50.0,-5.0,1,43,Loss
TMUS,1d,Bearish,2024-11-13,2024-11-14,237.75,4.2061,1000.0,68.35,6.84,2,50,Win
DLTR,1w,Bullish,2024-11-10,2024-11-17,64.2,15.5763,1000.0,71.85,7.18,2,71,Win
IFF,1d,Bullish,2024-11-15,2024-11-18,86.61,11.546,1000.0,0.0,0.0,1,19,Breakeven
LLY,1d,Bullish,2024-11-18,2024-11-19,729.73,1.3704,1000.0,72.28,7.23,2,37,Win
KDP,1d,Bullish,2024-11-18,2024-11-19,31.52,31.7259,1000.0,0.0,0.0,1,31,Breakeven
CDW,1d,Bullish,2024-11-19,2024-11-20,175.99,5.6821,1000.0,67.02,6.7,2,65,Win
APTV,1d,Bullish,2024-11-19,2024-11-20,52.59,19.015,1000.0,134.29,13.43,3,49,Win
BKR,1d,Bearish,2024-11-21,2024-11-22,44.25,22.5989,1000.0,65.28,6.53,2,29,Win
MS,3d,Bearish,2024-11-19,2024-11-22,134.69,7.4245,1000.0,65.67,6.57,2,35,Win
AME,1d,Bearish,2024-11-22,2024-11-25,197.12,5.0731,1000.0,68.19,6.82,2,65,Win
SNA,1d,Bearish,2024-11-26,2024-11-27,369.23,2.7083,1000.0,146.89,14.69,3,101,Win
PAYC,1d,Bearish,2024-11-26,2024-11-27,234.99,4.2555,1000.0,69.26,6.93,2,82,Win
FICO,1d,Bearish,2024-11-26,2024-11-27,2354.0,1.0,2354.0,370.29,15.73,3,101,Win
ETR,3d,Bearish,2024-11-25,2024-11-28,78.08,12.8066,1000.0,0.0,0.0,1,31,Breakeven
BK,3d,Bearish,2024-11-28,2024-12-01,80.85,12.3686,1000.0,0.0,0.0,1,30,Breakeven
DLR,3d,Bearish,2024-11-28,2024-12-01,191.07,5.2337,1000.0,65.11,6.51,2,34,Win
FICO,3d,Bearish,2024-11-28,2024-12-01,2345.32,1.0,2345.32,365.75,15.59,3,101,Win
PKG,1d,Bearish,2024-11-29,2024-12-02,244.8,4.085,1000.0,174.96,17.5,3,102,Win
CRM,1d,Bearish,2024-12-04,2024-12-05,361.38,2.7672,1000.0,65.43,6.54,2,34,Win
EMR,1d,Bearish,2024-12-04,2024-12-05,133.15,7.5103,1000.0,72.12,7.21,2,30,Win
AXON,1d,Bearish,2024-12-05,2024-12-06,687.69,1.4541,1000.0,71.52,7.15,2,37,Win
DDOG,1d,Bearish,2024-12-06,2024-12-09,161.19,6.2039,1000.0,188.52,18.85,3,102,Win
PAYC,3d,Bearish,2024-12-10,2024-12-13,234.5,4.2644,1000.0,68.33,6.83,2,71,Win
MDLZ,1d,Bullish,2024-12-19,2024-12-20,59.39,16.8379,1000.0,-50.0,-5.0,1,13,Loss
REGN,3d,Bullish,2024-12-19,2024-12-22,714.47,1.3996,1000.0,-50.0,-5.0,1,13,Loss
STLD,1d,Bullish,2025-01-02,2025-01-03,113.15,8.8378,1000.0,128.09,12.81,3,40,Win
AVY,1d,Bullish,2025-01-02,2025-01-03,185.09,5.4028,1000.0,0.0,0.0,1,18,Breakeven
LHX,1d,Bullish,2025-01-07,2025-01-08,207.15,4.8274,1000.0,0.0,0.0,1,15,Breakeven
URI,1d,Bullish,2025-01-08,2025-01-10,670.94,1.4904,1000.0,67.58,6.76,2,29,Win
AAL,3d,Bearish,2025-01-09,2025-01-12,18.21,54.9149,1000.0,229.54,22.95,3,60,Win
GIS,3d,Bullish,2025-01-09,2025-01-12,58.78,17.0126,1000.0,-50.0,-5.0,1,25,Loss
IR,1d,Bullish,2025-01-10,2025-01-13,88.18,11.3404,1000.0,0.0,0.0,1,24,Breakeven
EMN,1d,Bullish,2025-01-10,2025-01-13,89.12,11.2208,1000.0,74.08,7.41,2,42,Win
NDSN,1d,Bullish,2025-01-10,2025-01-13,203.83,4.906,1000.0,0.0,0.0,1,42,Breakeven
BIIB,3d,Bullish,2025-01-15,2025-01-21,143.67,6.9604,1000.0,-50.0,-5.0,1,17,Loss
KMI,3d,Bearish,2025-01-21,2025-01-24,30.27,33.036,1000.0,94.98,9.5,2,102,Win
KMI,1w,Bearish,2025-01-19,2025-01-26,30.27,33.036,1000.0,86.23,8.62,2,103,Win
ETR,3d,Bearish,2025-01-24,2025-01-27,79.24,12.6199,1000.0,-50.0,-5.0,1,8,Loss
PCG,1d,Bullish,2025-02-03,2025-02-04,15.18,65.8762,1000.0,0.0,0.0,1,10,Breakeven
ABT,1d,Bearish,2025-02-05,2025-02-06,128.22,7.7991,1000.0,-50.0,-5.0,1,11,Loss
TEAM,3d,Bearish,2025-02-08,2025-02-11,316.0,3.1646,1000.0,193.96,19.4,3,103,Win
TEAM,1w,Bearish,2025-02-09,2025-02-16,313.1,3.1939,1000.0,214.71,21.47,3,102,Win
JPM,1d,Bearish,2025-02-18,2025-02-19,279.25,3.581,1000.0,138.67,13.87,3,52,Win
FI,1d,Bearish,2025-02-19,2025-02-20,234.43,4.2657,1000.0,187.88,18.79,3,103,Win
APP,1w,Bearish,2025-02-16,2025-02-23,415.31,2.4078,1000.0,177.25,17.72,3,56,Win
WMT,1w,Bearish,2025-02-16,2025-02-23,94.78,10.5507,1000.0,65.54,6.55,2,35,Win
NFLX,1w,Bearish,2025-02-16,2025-02-23,100.31,9.9686,1000.0,70.84,7.08,2,21,Win
TMUS,1w,Bearish,2025-02-16,2025-02-23,265.17,3.7712,1000.0,0.0,0.0,1,36,Breakeven
LYV,1w,Bearish,2025-02-16,2025-02-23,149.4,6.6934,1000.0,-50.0,-5.0,1,1,Loss
FOX,1d,Bearish,2025-02-24,2025-02-25,53.28,18.7688,1000.0,72.81,7.28,2,25,Win
FOXA,1d,Bearish,2025-02-24,2025-02-25,56.91,17.5716,1000.0,66.57,6.66,2,22,Win
CE,3d,Bullish,2025-03-01,2025-03-04,55.22,18.1094,1000.0,-50.0,-5.0,1,1,Loss
WELL,1d,Bearish,2025-03-03,2025-03-04,153.9,6.4977,1000.0,0.0,0.0,1,20,Breakeven
HWM,1w,Bearish,2025-03-02,2025-03-09,124.4,8.0386,1000.0,-50.0,-5.0,1,8,Loss
BK,1w,Bearish,2025-03-02,2025-03-09,85.84,11.6496,1000.0,0.0,0.0,1,12,Breakeven
ETR,1w,Bearish,2025-03-02,2025-03-09,81.33,12.2956,1000.0,-50.0,-5.0,1,6,Loss
WELL,1w,Bearish,2025-03-02,2025-03-09,147.45,6.782,1000.0,-50.0,-5.0,1,18,Loss
NI,1w,Bearish,2025-03-02,2025-03-09,38.5,25.974,1000.0,-50.0,-5.0,1,16,Loss
FI,1w,Bearish,2025-03-02,2025-03-09,218.04,4.5863,1000.0,66.48,6.65,2,23,Win
T,1w,Bearish,2025-03-30,2025-04-06,26.64,37.5375,1000.0,-50.0,-5.0,1,21,Loss
TFC,1d,Bullish,2025-04-04,2025-04-07,35.14,28.4576,1000.0,0.0,0.0,1,4,Breakeven
DXCM,1d,Bullish,2025-04-04,2025-04-07,61.63,16.2259,1000.0,-50.0,-5.0,1,1,Loss
TTD,3d,Bullish,2025-04-06,2025-04-09,49.78,20.0884,1000.0,-50.0,-5.0,1,1,Loss
TTD,1d,Bullish,2025-04-08,2025-04-09,54.12,18.4775,1000.0,-50.0,-5.0,1,1,Loss
DAL,1d,Bullish,2025-04-08,2025-04-09,44.27,22.5887,1000.0,-50.0,-5.0,1,1,Loss
FITB,1d,Bullish,2025-04-08,2025-04-09,35.82,27.9174,1000.0,-50.0,-5.0,1,1,Loss
TROW,1d,Bullish,2025-04-08,2025-04-09,90.16,11.0914,1000.0,-50.0,-5.0,1,1,Loss
TER,1d,Bullish,2025-04-08,2025-04-09,79.44,12.5881,1000.0,-50.0,-5.0,1,1,Loss
ACN,1d,Bullish,2025-04-08,2025-04-09,299.94,3.334,1000.0,-50.0,-5.0,1,1,Loss
HPE,3d,Bullish,2025-04-06,2025-04-09,14.14,70.7214,1000.0,-50.0,-5.0,1,1,Loss
IT,1d,Bullish,2025-04-08,2025-04-09,406.13,2.4623,1000.0,-50.0,-5.0,1,1,Loss
CSX,1d,Bullish,2025-04-08,2025-04-09,28.66,34.8918,1000.0,-50.0,-5.0,1,1,Loss
MAR,1d,Bullish,2025-04-08,2025-04-09,233.39,4.2847,1000.0,-50.0,-5.0,1,1,Loss
LULU,1d,Bullish,2025-04-08,2025-04-09,273.84,3.6518,1000.0,-50.0,-5.0,1,1,Loss
PNR,3d,Bullish,2025-04-06,2025-04-09,82.19,12.1669,1000.0,-50.0,-5.0,1,1,Loss
RF,1d,Bullish,2025-04-08,2025-04-09,20.0,50.0,1000.0,-50.0,-5.0,1,1,Loss
ILMN,3d,Bullish,2025-04-06,2025-04-09,74.78,13.3726,1000.0,-50.0,-5.0,1,1,Loss
HLT,1d,Bullish,2025-04-08,2025-04-09,218.65,4.5735,1000.0,-50.0,-5.0,1,1,Loss
AAL,1d,Bullish,2025-04-08,2025-04-09,11.12,89.9281,1000.0,-50.0,-5.0,1,1,Loss
SWKS,3d,Bullish,2025-04-06,2025-04-09,56.54,17.6866,1000.0,-50.0,-5.0,1,1,Loss
CE,1w,Bullish,2025-04-13,2025-04-20,40.09,24.9439,1000.0,238.64,23.86,3,51,Win
GPN,1d,Bullish,2025-04-21,2025-04-22,71.39,14.0076,1000.0,127.57,12.76,3,71,Win
MCHP,1d,Bearish,2025-06-11,2025-06-12,67.93,14.721,1000.0,-50.0,-5.0,1,8,Loss
LHX,1d,Bearish,2025-06-13,2025-06-16,247.77,4.036,1000.0,-50.0,-5.0,1,17,Loss
HWM,3d,Bearish,2025-06-26,2025-06-29,176.22,5.6747,1000.0,-50.0,-5.0,1,1,Loss
HWM,1d,Bearish,2025-06-30,2025-07-01,176.22,5.6747,1000.0,-50.0,-5.0,1,1,Loss
APH,1d,Bearish,2025-07-03,2025-07-07,98.55,10.1471,1000.0,-50.0,-5.0,1,10,Loss
ORCL,1d,Bearish,2025-07-03,2025-07-07,232.26,4.3055,1000.0,-50.0,-5.0,1,9,Loss
ROK,1d,Bearish,2025-07-03,2025-07-07,338.93,2.9505,1000.0,-50.0,-5.0,1,9,Loss
ORCL,1d,Bearish,2025-07-17,2025-07-18,245.45,4.0741,1000.0,-50.0,-5.0,1,10,Loss
TXT,1d,Bearish,2025-07-23,2025-07-24,80.93,12.3564,1000.0,-50.0,-5.0,1,1,Loss
HWM,1w,Bearish,2025-07-20,2025-07-27,189.52,5.2765,1000.0,0.0,0.0,1,36,Breakeven
C,1d,Bearish,2025-07-25,2025-07-28,95.55,10.4657,1000.0,-50.0,-5.0,1,36,Loss
URI,1d,Bearish,2025-07-28,2025-07-29,882.24,1.1335,1000.0,-50.0,-5.0,1,12,Loss
LVS,1d,Bearish,2025-07-30,2025-07-31,52.4,19.084,1000.0,-50.0,-5.0,1,17,Loss
LVS,1d,Bearish,2025-08-13,2025-08-14,54.12,18.4775,1000.0,-50.0,-5.0,1,9,Loss
DOW,1w,Bullish,2025-08-10,2025-08-17,23.36,42.8082,1000.0,0.0,0.0,1,13,Breakeven
NOC,1d,Bearish,2025-08-21,2025-08-22,592.44,1.6879,1000.0,-50.0,-5.0,1,32,Loss
HCA,1d,Bearish,2025-09-05,2025-09-08,418.1,2.3918,1000.0,0.0,0.0,1,14,Breakeven
BWA,1d,Bearish,2025-09-08,2025-09-09,43.69,22.8885,1000.0,0.0,0.0,1,31,Breakeven
WBD,3d,Bearish,2025-09-21,2025-09-24,19.51,51.2558,1000.0,76.76,7.68,2,20,Win
LRCX,1d,Bearish,2025-10-06,2025-10-07,140.35,7.125,1000.0,-50.0,-5.0,1,1,Loss
MU,1d,Bearish,2025-10-08,2025-10-09,192.33,5.1994,1000.0,0.0,0.0,1,3,Breakeven
HPE,3d,Bearish,2025-10-06,2025-10-09,24.4,40.9836,1000.0,-50.0,-5.0,1,1,Loss
VZ,1d,Bullish,2025-10-23,2025-10-24,38.82,25.7599,1000.0,62.08,6.21,1,29,Win
T,1d,Bullish,2025-10-23,2025-10-24,25.14,39.7772,1000.0,8.15,0.82,1,29,Win
CAT,1d,Bearish,2025-10-29,2025-10-30,583.15,1.7148,1000.0,0.0,0.0,1,6,Breakeven
GLW,3d,Bearish,2025-10-27,2025-10-30,89.08,11.2259,1000.0,65.29,6.53,2,25,Win
CHRW,3d,Bearish,2025-10-30,2025-11-02,152.91,6.5398,1000.0,-50.0,-5.0,1,20,Loss
CTAS,3d,Bullish,2025-10-30,2025-11-02,184.11,5.4315,1000.0,-2.15,-0.22,1,23,Loss
STZ,3d,Bullish,2025-11-05,2025-11-08,128.47,7.7839,1000.0,68.54,6.85,1,18,Win
FDS,3d,Bullish,2025-11-05,2025-11-08,265.09,3.7723,1000.0,48.91,4.89,1,18,Win
TER,3d,Bearish,2025-11-08,2025-11-11,169.59,5.8966,1000.0,-50.0,-5.0,1,1,Loss
ISRG,1d,Bearish,2025-11-10,2025-11-11,572.17,1.7477,1000.0,5.37,0.54,1,17,Win
LRCX,3d,Bearish,2025-11-08,2025-11-11,153.32,6.5223,1000.0,-50.0,-5.0,1,1,Loss
ADP,1d,Bullish,2025-11-20,2025-11-21,253.12,3.9507,1000.0,25.88,2.59,1,9,Win
ZTS,1d,Bullish,2025-11-20,2025-11-21,122.06,8.1927,1000.0,0.0,0.0,1,8,Breakeven
FI,1d,Bullish,2025-11-20,2025-11-21,60.84,16.4366,1000.0,100.42,10.04,2,8,Win
FMC,1d,Bullish,2025-11-20,2025-11-21,12.75,78.4314,1000.0,76.47,7.65,2,9,Win
JNJ,3d,Bearish,2025-11-26,2025-11-29,205.34,4.87,1000.0,16.22,1.62,1,4,Win
LVS,1d,Bearish,2025-12-01,2025-12-02,68.51,14.5964,1000.0,33.13,3.31,1,3,Win
CHRW,3d,Bearish,2025-11-29,2025-12-02,159.54,6.268,1000.0,6.02,0.6,1,3,Win
